title,price,liter,fuel_type,year,transmission,city
Porsche Cayenne,4 699 €,4.5,Gasoline,2004,Automatic,Talinas
Porsche Cayenne,6 500 €,4.5,Petrol / Gas,2006,Automatic,Kaunas
Porsche Cayenne II,17 000 €,3.6,Gasoline,2012,Automatic,Radviliskis
Porsche Kitas,2 300 €,2.0,Gasoline,1978,Mechanical,Klaipeda
Porsche Cayenne,5 300 €,4.5,Petrol / Gas,2004,Automatic,Pasvalys
Porsche Cayenne,5 900 €,4.8,Gasoline,2007,Automatic,Vilnius
Porsche Cayenne,6 800 €,3.2,Petrol / Gas,2006,Mechanical,Kedainiai
Porsche Cayenne,7 800 €,3.2,Petrol / Gas,2004,Automatic,Kretinga
Porsche Boxster,10 000 €,2.7,Gasoline,2003,Mechanical,Vilnius
Porsche 924,11 000 €,2.0,Gasoline,1980,Mechanical,Ryga
Porsche 944,13 500 €,2.5,Gasoline,1987,Mechanical,Vilnius
Porsche Cayenne II,18 500 €,3.0,Diesel,2012,Automatic,Kretinga
Porsche Cayenne,19 500 €,4.8,Gasoline,2012,Automatic,Siauliai
Porsche Cayenne,19 900 €,4.8,Gasoline,2007,Automatic,Vilnius
Porsche Cayenne,19 900 €,4.8,Gasoline,2012,Automatic,Ryga
